Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,26.36446166666667,33.300455916666664,
2001,25.69532375,33.15674958333333,-2.530146583333333
2002,26.508756916666666,34.393126333333335,3.169549083333333
2003,27.178685416666664,35.50562283333333,2.5348580833333334
2004,30.577242916666666,38.259065666666665,12.53350725
2005,33.993396,41.4286655,11.240448666666666
2006,36.93270166666666,44.50185099999999,8.663434166666667
2007,41.08506008333333,48.21528508333333,11.200887833333333
2008,56.2464355,59.3604645,36.79060925000001
2009,60.946299833333335,63.347696833333345,9.030704083333333
2010,67.50421216666668,69.18041458333333,10.73475475
2011,85.52037066666666,82.10174733333334,26.6423995
2012,92.27338441666666,89.56865775,8.389524833333335
2013,94.75282708333333,95.47362791666666,2.6918884999999997
2014,98.542951,99.37330016666665,4.007883333333335
2015,100.00024691666668,100.00054558333333,1.4826798333333333
2016,102.36362391666667,102.66880816666668,2.3631803333333337
2017,101.25854866666667,106.283014,-1.0726094166666664
2018,104.53662833333333,110.04503725000002,3.2546765
2019,108.79717516666669,113.12170258333333,4.078946833333333
2020,119.62833183333333,116.76527841666666,10.02097525
2021,120.71193544444445,118.825924,0.907349888888889
