Area,Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation,Population_total,Area_cat
Indonesia,2015,2289.0,125.0,55.3,64.0,19.3,242.0,11.1,0.28,2868.0,10149.6,4.45,1780.0,2.9865,2.3,8.0,15.5,497.6,11.3,18.2,19.6,4.3,27.0,27.8,9.5,32.9,88.5,73.6,25.643499999999985,58.40699999999997,-0.62,28.2,10.0,6.0,6.5,0.7,7.0,0.3,69.0,8.0,100.02167833333333,100.00000583333332,7.183064916666666,258383257.0,2
Indonesia,2016,2289.0,126.0,56.4,65.3,20.0,161.0,10.2,0.28,2894.0,10531.1,4.5,1780.0,2.8164999999999982,2.5,8.1,19.0,506.3925000000009,12.2,17.7,20.3,5.6,21.0,26.8,10.0,32.5,89.3,76.1,25.821499999999993,58.78449999999997,-0.37,28.9,10.376999999999999,7.3,6.9,0.9,6.8,0.3,69.0,8.0,107.26501133333336,103.52580833333332,7.26224375,261556386.0,2
Indonesia,2017,2291.0,127.0,58.7,66.7,20.7,80.0,10.1,0.28,2919.0,10935.6,4.3,1782.0,2.804499999999998,2.6,8.0,20.0,500.54700000000145,11.589000000000013,16.8,20.9,8.5,20.0,25.9,10.3,32.3,90.1,78.7,25.985999999999994,59.1945,-0.5,29.6,10.587999999999997,7.6,6.754500000000006,0.9,6.4,0.3,68.0,9.0,109.54727325,107.46889166666668,2.142843416666667,264650969.0,2
Indonesia,2018,2294.0,127.0,57.724500000000035,68.10150000000017,20.637499999999942,111.41,9.875999999999975,0.28,2914.0,11371.7,4.1,1784.0,2.5,2.6,7.8,18.7,500.54700000000145,11.589000000000013,17.2,21.6,7.87149999999999,25.0,26.248499999999993,10.7,32.2,90.9,81.3,26.15,59.54049999999997,-0.54,30.4,10.585999999999997,7.0,6.753000000000006,0.8,6.4,0.3,68.28,9.0,114.19058575000004,110.90612500000002,4.2413585,267670549.0,2
Indonesia,2019,2297.0,126.0,58.34650000000005,68.10150000000017,20.828999999999937,115.91,9.24749999999998,0.28,2908.0,11812.0,3.9,1786.0,2.751999999999998,2.6,7.7,16.8,500.54700000000145,11.589000000000013,17.6,22.3,7.87149999999999,34.0,28.0375,10.9,32.0,91.6,83.9,26.64799999999999,60.91449999999999,-0.48,31.2,10.786999999999999,6.2,6.762500000000006,0.7,6.5,0.30149999999999894,68.285,9.93,115.42190041666667,114.26724166666668,1.0849549166666663,270625567.0,2
Indonesia,2020,2299.0,125.25,58.44250000000004,68.10150000000017,20.806999999999938,116.735,9.545499999999977,0.28,2887.18,11445.0,3.9,1787.0,2.751999999999998,2.6,7.5,17.783500000000018,500.54700000000145,11.589000000000013,17.481999999999946,21.952500000000033,7.87149999999999,30.43,31.840500000000002,11.1,31.8,92.4,86.5,26.376499999999993,59.993,-0.34449999999999936,31.373999999999942,11.059999999999997,7.177000000000013,6.776500000000007,1.6044999999999974,6.645500000000006,0.30149999999999894,68.23,10.195,121.61607333333332,116.46226666666668,5.378286833333334,273523621.0,2
Lao People's Democratic Republic,2000,2215.0,95.105,27.142500000000055,56.3535,11.125500000000013,189.24,2.2074999999999982,0.3,2133.425,2861.3,2.98,1733.0,0.1,0.1,0.4,40.65600000000009,34.7,0.11000000000000015,1.5954999999999961,0.5,15.081000000000031,19.0,30.432500000000065,2.1,49.7,46.1,28.2,4.9,21.7,-0.58,42.6,20.4,45.35999999999984,1.7,9.47250000000002,31.62099999999994,0.4924999999999999,75.86,21.5,26.99255733333333,38.270790000000005,11.151487578333345,5323701.0,3
Lao People's Democratic Republic,2001,2226.0,96.0,26.3,57.0,10.7,190.0,2.5,0.28,2138.0,2977.8,3.01,1740.0,0.10300000000000009,0.1,0.4,40.65600000000009,33.8,0.10900000000000017,1.7,0.5,16.3,21.0,31.1,2.1,49.3,48.5,31.2,6.7,24.3,-0.49479999999999946,41.7,20.2,45.35999999999984,1.8,9.47250000000002,31.2,0.4924999999999999,76.0,20.0,30.071333666666664,41.26043066666666,11.559259416666668,5409584.0,3
Lao People's Democratic Republic,2002,2235.0,97.0,27.0,58.0,11.3,194.0,2.7,0.27,2156.0,3106.0,3.09,1746.0,0.10300000000000009,0.1,0.4,40.978500000000075,33.0,0.1,1.6,0.5,14.9,22.0,29.8,2.1,49.0,50.9,34.2,8.6,26.7,-0.1,40.9,19.9,45.35999999999984,2.0,9.47250000000002,29.5,0.4924999999999999,76.0,23.0,32.581580833333334,45.64696933333334,8.331421666666667,5493247.0,3
Lao People's Democratic Republic,2003,2244.0,98.0,28.0,59.0,11.7,199.0,2.3,0.26,2192.0,3245.2,3.17,1752.0,0.10100000000000006,0.1,0.4,40.309500000000085,32.4,0.1,1.5,0.5,14.5,22.0,28.5,2.1,48.6,53.2,37.2,10.6,29.1,-1.23,40.2,19.6,45.35999999999984,2.1,9.494500000000023,26.9,0.49450000000000005,75.0,26.0,36.758368833333336,52.71738958333333,12.777793166666667,5576640.0,3
Lao People's Democratic Republic,2004,2253.0,99.0,29.7,59.7,12.0,202.0,1.4,0.25,2235.0,3399.3,3.19,1757.0,0.10100000000000006,0.1,0.4,19.474499999999956,32.0,0.1,1.4,0.5,6.2,24.0,27.5,2.1,48.1,55.5,40.2,11.1,31.4,-0.61,39.4,19.4,45.35999999999984,2.3,9.498000000000024,24.1,0.49500000000000005,75.0,27.0,41.32624958333333,58.23282341666667,12.482313916666667,5662199.0,3
Lao People's Democratic Republic,2005,2263.0,100.0,31.0,60.0,12.0,207.0,-0.5,0.25,2257.0,3584.3,3.17,1763.0,0.10100000000000006,0.1,0.4,6.950000000000012,31.6,0.1,1.3,0.6,6.0,18.0,26.6,2.1,47.6,57.7,43.1,11.6,33.6,-0.49,38.7,19.1,45.35999999999984,2.5,9.479500000000023,22.4,0.49500000000000005,74.0,24.0,47.03034683333333,62.40441391666667,13.7472845,5751675.0,3
Lao People's Democratic Republic,2006,2271.0,101.0,32.3,60.7,12.0,213.0,-0.6,0.24,2283.0,3830.4,3.13,1768.0,0.1,0.1,0.4,6.785000000000008,31.3,0.1,1.2,0.6,6.7,25.0,25.9,2.1,46.9,59.8,45.8,12.0,35.8,-0.09,38.1,18.9,44.71449999999985,2.7,9.479500000000023,20.6,0.49500000000000005,73.0,21.0,51.26324508333334,66.489154,9.075910833333333,5846075.0,3
Lao People's Democratic Republic,2007,2279.0,100.0,33.0,60.3,12.0,217.0,-1.7,0.23,2282.0,4052.8,3.19,1773.0,0.10100000000000006,0.1,0.4,6.91700000000001,31.0,0.1,1.2,0.6,9.6,21.0,24.9,2.1,46.1,61.9,48.5,12.5,37.9,-0.18,37.5,18.7,44.458499999999894,2.9,9.479500000000023,20.1,0.49500000000000005,73.0,19.0,55.62179125,69.58886,8.537083249999998,5944950.0,3
Lao People's Democratic Republic,2008,2285.0,101.0,34.0,61.3,12.3,225.0,-2.3,0.23,2314.0,4296.5,3.08,1777.0,0.10100000000000006,0.1,0.3,2.9215000000000035,30.8,0.1,1.1,0.6,6.3,20.0,23.9,2.2,45.2,63.9,51.2,12.9,40.0,0.02,37.0,18.5,44.46049999999989,3.1,9.479500000000023,18.3,0.4960000000000001,72.0,21.0,61.695994000000006,74.89766133333332,10.900381916666667,6046630.0,3
Lao People's Democratic Republic,2009,2292.0,102.0,35.0,62.4,12.7,231.0,-4.5,0.23,2326.0,4542.2,3.21,1781.0,0.10100000000000006,0.1,0.3,2.992500000000004,30.4,0.1,1.1,0.6,8.7,36.0,23.0,2.2,44.2,65.9,53.8,13.3,42.0,-0.16,36.6,18.3,44.46049999999989,3.3,9.479500000000023,17.7,0.5070000000000001,72.0,18.0,63.01045000000001,75.00340741666669,2.24645175,6148621.0,3
Lao People's Democratic Republic,2010,2298.0,103.0,36.0,64.3,13.3,244.0,-5.1,0.23,2369.0,4850.2,3.28,1786.0,0.10150000000000008,0.1,0.3,2.967000000000004,30.1,0.1,1.0,0.6,8.3,36.0,22.2,2.2,43.2,67.9,56.5,13.7,44.1,-0.28,36.4,18.1,44.0039999999999,3.5,9.479500000000023,16.0,0.6370000000000016,71.0,16.0,68.23883183333334,79.49052016666667,8.257440333333333,6249168.0,3
Lao People's Democratic Republic,2011,2303.0,103.0,36.7,65.3,13.7,257.0,-5.1,0.23,2378.0,5158.8,3.4,1789.0,0.1,0.1,0.3,3.3315000000000055,29.7,0.1,1.0,0.6,7.2,31.0,21.7,2.3,42.0,69.8,59.1,14.2,46.1,-0.06,36.2,17.9,42.95249999999993,3.8,9.107000000000015,15.9,0.6660000000000014,70.0,15.0,75.27402875,85.50714858333333,10.374449499999999,6347564.0,3
Lao People's Democratic Republic,2012,2309.0,105.0,37.3,66.7,14.0,271.0,-5.2,0.23,2417.0,5489.0,3.37,1793.0,0.10150000000000008,0.1,0.3,3.3315000000000055,29.3,0.2,0.9,0.6,6.1,29.0,21.3,2.3,40.7,71.8,61.8,14.6,48.1,0.03,36.3,17.7,42.93349999999995,4.1,9.723000000000015,14.5,0.6660000000000014,69.0,15.0,79.49151316666666,89.14558625000002,5.67735125,6444527.0,3
Lao People's Democratic Republic,2013,2316.0,108.0,40.4,69.7,15.4,294.0,-4.1,0.23,2495.0,5841.9,3.49,1798.0,0.1020000000000001,0.1,0.3,3.3315000000000055,28.9,0.2,0.8,0.6,2.8,35.0,20.5,2.4,39.4,73.7,64.4,15.0,50.1,0.07,36.5,17.6,42.22449999999995,4.4,9.723000000000015,12.2,0.6660000000000014,67.0,19.0,89.50620883333332,94.82543225,12.562466583333332,6541302.0,3
Lao People's Democratic Republic,2014,2322.0,112.0,43.0,73.0,16.3,323.0,-3.7,0.23,2606.0,6193.3,3.49,1802.0,0.10150000000000009,0.1,0.3,3.2625000000000055,28.5,0.2,0.6,0.7,3.3,36.0,19.6,2.5,38.0,75.6,67.0,15.4,52.1,0.5,36.8,17.4,39.68149999999993,4.7,9.397000000000016,9.0,0.6910000000000008,65.0,19.0,95.66721533333332,98.74100491666668,6.9757972499999985,6639763.0,3
Lao People's Democratic Republic,2015,2326.0,116.0,45.7,76.0,17.7,351.0,-2.7,0.23,2690.0,6543.7,3.49,1805.0,0.1,0.1,0.3,2.9640000000000053,28.2,0.2,0.5,0.7,11.0,65.0,19.0,2.5,36.5,77.5,69.6,15.9,54.1,0.54,37.2,17.3,38.957499999999925,5.0,5.859500000000004,6.7,0.7115000000000002,64.0,19.0,100.01797708333334,100.00227725,4.543123416666666,6741160.0,3
Lao People's Democratic Republic,2016,2331.0,117.0,46.3,76.3,17.7,240.0,-2.9,0.23,2733.0,6896.1,3.49,1808.0,0.1025000000000001,0.1,0.3,2.9500000000000055,28.402499999999932,0.2,0.4,0.7,17.1,85.0,19.0,2.6,35.1,79.6,72.1,16.3,56.0,0.53,37.7,13.347499999999995,37.85099999999993,5.3,4.886999999999992,5.9,0.7115000000000002,64.0,19.0,104.31876083333331,101.599226,4.30334175,6845848.0,3
Lao People's Democratic Republic,2017,2333.0,118.0,47.0,76.3,18.0,120.0,-3.2,0.23,2754.0,7257.8,3.49,1810.0,0.1,0.1,0.3,3.0475000000000048,28.402499999999932,0.2075000000000003,0.4,0.7,17.5,86.0,19.4,2.7,33.7,81.5,74.7,16.7,57.9,0.4,38.2,12.739999999999991,37.31149999999994,5.239499999999988,4.2849999999999895,5.6,0.7120000000000002,64.0,20.0,104.21706641666668,102.43790574999998,-0.07117533333333335,6953031.0,3
Lao People's Democratic Republic,2018,2336.0,119.0,54.48299999999999,73.72349999999983,18.692500000000017,124.615,6.810499999999999,0.23,2769.0,7592.8,3.49,1812.0,0.1025000000000001,0.1,0.3,3.0365000000000055,28.402499999999932,0.2075000000000003,0.4,0.7,16.273499999999984,62.0,24.56700000000002,2.8,32.4,83.3,77.2,17.2,59.8,0.42,38.8,12.700999999999999,37.016499999999944,5.343499999999988,4.346999999999989,5.4,0.7120000000000002,64.065,18.0,105.506293,104.52804133333336,1.2359161666666667,7061498.0,3
Lao People's Democratic Republic,2019,2338.0,119.0,56.99500000000001,75.40699999999993,20.248500000000014,116.47,8.180999999999997,0.23,2773.0,7886.7,3.49,1814.0,0.1025000000000001,0.1,0.2,2.1,5.307499999999999,0.23600000000000013,0.4,0.8,12.914499999999991,37.0,25.321000000000005,2.9,31.2,85.1,79.3,17.6,61.4,0.53,39.5,12.819000000000003,29.4,5.363499999999988,8.9,5.3,0.7120000000000002,63.74,13.53,110.44332049999996,108.00104691666668,4.665818,7169456.0,3
Lao People's Democratic Republic,2020,2342.0,122.24,67.95299999999997,75.73699999999994,23.887999999999987,115.73,8.180999999999997,0.23,2761.135,7805.8,3.49,1816.0,0.1025000000000001,0.1,0.2,3.0895000000000072,5.307499999999999,0.23600000000000013,0.4115000000000005,0.7119999999999997,12.914499999999991,44.64,26.254499999999997,3.0,30.2,85.2,79.5,17.7,61.4,0.4214000000000007,37.63500000000001,12.684000000000005,32.547499999999914,5.361999999999989,6.201000000000001,5.635499999999984,0.7120000000000002,58.03,13.105,119.94956133333334,113.513499,8.684701666666667,7275556.0,3
Malaysia,2000,2282.0,119.61,84.20000000000027,70.5549999999999,38.19249999999995,347.95,69.0450000000002,0.21,2776.73,15917.1,2.95,1774.0,0.2619999999999998,0.1,0.5,6.601500000000005,50.5,1.0,0.6464999999999995,2.1,13.985999999999997,23.0,40.9619999999999,5.4,20.0,96.9,96.8,92.6,65.6,0.09,35.1,10.0,9.583000000000004,7.0,6.910999999999991,12.485500000000002,0.5,45.25,3.11,62.27486716666665,71.39616666666667,0.630170651666668,23194252.0,4
Malaysia,2001,2287.0,124.0,85.7,75.3,41.7,382.0,80.2,0.21,2836.0,15652.0,2.99,1777.0,0.2619999999999998,0.1,0.5,6.403000000000002,49.1,1.1,0.6,2.2,15.8,41.0,40.9,5.5,19.5,96.9,97.0,92.7,65.9,-0.09660000000000007,34.7,9.9,9.583000000000004,7.5,6.910999999999991,2.5,0.5,44.0,3.0,62.70041199999998,72.40769633333333,0.6838949166666667,23709115.0,4
Malaysia,2002,2295.0,123.0,85.7,75.0,41.3,395.0,77.7,0.21,2818.0,16155.6,3.06,1782.0,0.2619999999999998,0.1,0.5,6.479000000000002,48.0,1.2,0.7,2.2,13.2,48.0,39.9,5.6,19.1,96.9,97.2,92.8,66.1,0.54,34.2,9.9,9.584500000000002,7.9,6.910999999999991,2.8,0.5,44.0,3.0,63.14152574999998,73.71673566666666,0.7037986666666667,24208391.0,4
Malaysia,2003,2304.0,122.0,86.0,76.0,41.7,405.0,85.1,0.22,2820.0,16751.4,2.97,1789.0,0.25999999999999984,0.1,0.5,7.549500000000003,47.4,1.3,0.7,2.2,9.9,60.0,39.1,5.7,18.8,96.9,97.5,92.8,66.3,0.49,33.5,10.0,9.607500000000003,8.4,6.910999999999991,2.9,0.5,45.0,3.0,63.98742599999998,74.52000925,1.3400846666666666,24698821.0,4
Malaysia,2004,2313.0,122.0,85.7,76.7,41.7,420.0,82.6,0.22,2823.0,17538.5,2.97,1794.0,0.2589999999999999,0.1,0.5,7.549500000000003,47.3,1.4,0.8,2.2,7.2,57.0,39.5,5.8,18.6,97.0,97.7,92.9,66.5,0.35,32.9,10.1,9.9635,8.9,6.910999999999991,3.1,0.5,46.0,3.0,65.39379999999998,75.57914075000002,2.1968986666666663,25190647.0,4
Malaysia,2005,2321.0,122.0,85.0,78.0,42.0,431.0,86.3,0.22,2826.0,18114.1,3.06,1800.0,0.2584999999999999,0.1,0.5,7.522000000000003,47.7,1.5,0.8,2.2,8.6,29.0,40.4,5.8,18.3,97.0,97.9,93.0,66.7,0.56,32.5,10.2,9.9635,9.4,6.910999999999991,3.2,0.5,47.0,4.0,67.76970825,77.82767375,3.632345333333333,25690615.0,4
Malaysia,2006,2329.0,121.0,83.7,78.7,42.0,438.0,81.1,0.22,2826.0,18752.5,3.01,1805.0,0.3,0.1,0.5,6.9804999999999975,48.5,1.7,0.9,2.2,10.0,22.0,42.3,5.9,18.1,97.0,98.1,93.0,66.9,0.29,32.0,10.4,11.537499999999996,9.9,6.910999999999991,3.4,0.5,47.0,4.0,70.05128866666668,80.63665783333333,3.3702406666666667,26201954.0,4
Malaysia,2007,2336.0,121.0,83.3,77.6,41.3,449.0,77.2,0.22,2820.0,19547.0,2.91,1810.0,0.24250000000000005,0.1,0.4,6.9709999999999965,49.6,1.8,1.0,2.2,11.5,19.0,43.8,5.9,17.9,97.0,98.3,93.1,67.1,0.19,31.5,10.6,11.576499999999994,10.4,6.910999999999991,3.6,0.5,46.0,4.0,72.16909216666667,82.27144758333334,3.0210946666666665,26720367.0,4
Malaysia,2008,2343.0,121.0,83.7,77.3,41.3,455.0,72.8,0.22,2828.0,20103.5,2.85,1814.0,0.24200000000000002,0.1,0.4,5.371499999999992,51.0,1.9,1.0,2.3,6.0,20.0,44.7,5.9,17.9,97.0,98.5,93.2,67.6,0.11,31.1,10.7,11.615499999999995,10.9,6.910999999999991,3.6,0.5,46.0,5.0,78.55638691666668,86.747658,8.832798416666666,27236003.0,4
Malaysia,2009,2350.0,121.0,85.4,77.4,42.0,460.0,69.5,0.22,2840.0,19443.0,2.91,1818.0,0.23800000000000007,0.1,0.4,5.158999999999992,52.4,2.1,1.0,2.3,10.0,22.0,44.9,6.0,17.8,97.0,98.7,93.2,68.1,-0.04,30.7,10.9,16.636000000000003,11.5,6.910999999999991,3.5,0.5,45.0,5.0,81.80933283333334,87.25366425,4.2626152500000005,27735038.0,4
Malaysia,2010,2357.0,122.0,86.7,78.7,43.0,464.0,71.1,0.22,2875.0,20536.4,2.94,1822.0,0.24100000000000002,0.1,0.4,5.158999999999992,53.8,2.2,0.9,2.3,8.6,25.0,46.3,6.0,17.9,97.0,98.8,93.3,69.0,0.14,30.4,11.1,16.675,12.0,6.910999999999991,3.2,0.7,45.0,6.0,83.78102066666666,88.66966233333332,2.409906916666667,28208028.0,4
Malaysia,2011,2363.0,123.0,88.0,79.3,43.7,470.0,72.3,0.22,2900.0,21289.3,2.9,1826.0,0.23050000000000012,0.1,0.4,5.158999999999992,55.3,2.4,0.8,2.3,11.3,35.0,47.8,6.0,18.1,97.0,99.0,93.4,69.9,0.08,30.2,11.2,16.81300000000002,12.6,6.910999999999991,3.0,0.7,44.0,6.0,87.809827,91.48445516666668,4.806543083333334,28650962.0,4
Malaysia,2012,2368.0,123.0,88.3,80.0,44.0,481.0,72.6,0.22,2919.0,22132.2,2.91,1829.0,0.2320000000000001,0.1,0.4,5.158999999999992,56.7,2.6,0.8,2.4,12.5,44.0,50.6,6.0,18.3,97.0,99.0,93.4,70.8,-0.01,30.1,11.3,16.64550000000002,13.1,6.910999999999991,2.8,0.6770000000000012,44.0,6.0,90.16985566666666,93.00636408333332,2.694544083333333,29068189.0,4
Malaysia,2013,2372.0,122.0,89.0,79.7,44.7,480.0,76.4,0.22,2896.0,22855.9,2.86,1832.0,0.24900000000000008,0.1,0.5,5.158999999999992,57.9,2.7,0.9,2.4,11.2,53.0,53.1,6.1,18.5,97.0,99.0,93.5,71.8,0.05,30.2,11.4,16.64550000000002,13.7,6.910999999999991,3.2,0.7025000000000006,43.0,6.0,93.381729,94.96415958333336,3.5604490833333333,29468923.0,4
Malaysia,2014,2375.0,121.0,90.7,79.0,45.0,480.0,74.8,0.22,2878.0,23906.2,2.86,1834.0,0.22950000000000031,0.2,0.5,5.158999999999992,58.8,2.9,1.0,2.5,9.1,39.0,54.6,6.1,18.8,97.0,99.0,93.5,72.7,0.27,30.4,11.4,16.62250000000002,14.3,6.910999999999991,3.4,0.7655000000000001,43.0,6.0,96.50283241666666,97.94887391666668,3.3469289166666667,29866606.0,4
Malaysia,2015,2378.0,119.0,91.0,78.0,45.0,477.0,73.9,0.22,2842.0,24787.8,2.86,1836.0,0.2,0.2,0.5,5.3,59.5,3.1,1.1,2.5,9.7,42.0,54.0,6.1,19.1,97.1,99.0,93.6,73.4,0.26,30.7,11.3,17.4,14.9,7.8,3.8,0.7859999999999999,42.0,6.0,100.00796433333332,100.01010008333333,3.62833175,30270965.0,4
Malaysia,2016,2379.0,120.0,92.3,77.7,44.3,315.0,70.6,0.22,2857.0,25541.8,2.86,1837.0,0.3,0.2,0.5,4.6,58.805999999999955,3.3,1.1,2.6,10.6,44.0,53.5,6.1,19.5,97.1,99.0,93.6,74.3,0.14,30.9,11.071000000000016,15.1,15.6,6.7,3.5,0.7859999999999999,42.0,6.0,103.876177,102.10087783333334,3.874704416666667,30684652.0,4
Malaysia,2017,2380.0,120.0,91.3,77.3,43.7,156.0,71.9,0.21,2850.0,26661.5,2.86,1838.0,0.27299999999999963,0.2,0.5,4.7,58.805999999999955,3.1519999999999984,1.1,2.6,11.1,51.0,53.5,6.1,19.9,97.1,99.0,93.7,75.9,0.12,31.3,11.033500000000013,15.1,14.819999999999972,6.7,3.4,0.8,42.0,6.0,108.21220600000001,106.05340808333334,4.174879583333333,31104655.0,4
Malaysia,2018,2381.0,120.0,87.08449999999989,78.7634999999999,43.93449999999998,218.29,70.40299999999985,0.21,2862.0,27558.1,2.86,1839.0,0.2929999999999991,0.2,0.5,4.7,58.805999999999955,3.1519999999999984,1.0,2.7,11.576999999999966,46.0,52.668,6.1,20.3,97.1,99.0,93.7,77.5,0.26,31.6,11.01750000000001,15.1,14.819999999999972,6.7,3.2,0.8,42.625,5.0,109.678496,106.99167241666667,1.36267375,31528033.0,4
Malaysia,2019,2382.0,120.0,87.01199999999984,78.94749999999989,43.97499999999997,217.89,70.40299999999985,0.21,2860.0,28364.5,2.86,1840.0,0.3,0.2,0.5,6.0,58.805999999999955,3.1519999999999984,1.0,2.8,11.576999999999966,19.0,52.6175,6.1,20.6,97.1,98.88699999999999,93.8,76.78099999999993,0.11,32.0,10.990500000000011,18.7,14.819999999999972,7.5,3.2,0.7890000000000001,42.68,5.35,111.48692033333332,107.70091141666666,1.65120725,31949789.0,4
Malaysia,2020,2382.0,120.58,86.80949999999986,78.6024999999999,43.981499999999976,217.935,70.40299999999985,0.21,2861.11,26435.2,2.86,1840.0,0.2924999999999991,0.2,0.5,6.608500000000005,58.805999999999955,3.1519999999999984,1.0039999999999998,2.7465000000000033,11.576999999999966,27.485,52.6175,6.1,20.9,97.1,98.88699999999999,93.8,76.44499999999988,0.14740000000000003,31.828000000000028,10.98100000000001,16.586999999999954,14.819999999999972,7.370000000000007,3.269000000000001,0.7890000000000001,43.11,5.35,112.904334,106.47451883333336,1.271185,32365998.0,4
Myanmar,2000,2239.0,90.99,31.094500000000004,52.45749999999994,11.48400000000001,201.905,-4.443499999999996,0.28,2048.775,1093.8,2.55,1743.0,0.6,0.2,2.4,41.143500000000074,156.8,0.6,17.058999999999955,6.3,7.590000000000014,38.0,26.307499999999987,4.5,47.0,47.0,63.5,27.1,58.4,-1.67,47.6,13.9,9.0225,2.2,10.01150000000002,36.360500000000094,0.26650000000000035,65.25,9.49,10.795567083333333,11.602793083333333,19.676138235833342,46719698.0,5
Myanmar,2001,2240.0,90.0,38.7,51.3,10.7,210.0,-5.4,0.28,2025.0,1204.8,2.57,1744.0,0.5604999999999992,0.2,2.4,41.28350000000009,156.1,0.7,17.7,6.2,8.4,36.0,19.4,4.3,45.3,48.6,64.0,28.6,58.9,-1.4857999999999996,46.6,13.7,12.757499999999999,2.3,10.01150000000002,37.6,0.2615000000000003,66.0,10.0,11.796991583333332,14.051133916666664,9.323590250000002,47225119.0,5
Myanmar,2002,2242.0,92.0,40.3,53.3,11.7,219.0,-5.7,0.28,2071.0,1336.2,2.64,1746.0,0.6009999999999986,0.2,2.3,41.28350000000009,154.8,0.7,16.6,6.2,6.0,34.0,20.0,4.1,43.6,50.2,64.6,30.2,59.2,-1.41,45.7,13.6,42.294999999999874,2.5,10.01150000000002,34.8,0.26350000000000035,65.0,9.0,17.4717005,22.07074991666667,47.40249941666665,47702163.0,5
Myanmar,2003,2243.0,94.0,43.0,56.0,13.7,227.0,-4.1,0.28,2112.0,1507.1,2.72,1747.0,0.6,0.2,2.3,41.28350000000009,152.7,0.8,15.6,6.1,6.2,17.0,20.7,3.9,42.1,51.8,65.1,31.7,59.6,-1.15,44.8,13.4,44.12399999999988,2.6,10.01150000000002,32.4,0.2645000000000003,63.0,11.0,25.68870125,30.14924233333333,48.25949041666667,48148907.0,5
Myanmar,2004,2246.0,96.0,46.0,58.7,15.7,238.0,-2.0,0.28,2153.0,1696.9,2.85,1749.0,0.6029999999999989,0.2,2.2,40.37700000000009,149.9,0.9,14.7,6.0,4.3,11.0,21.1,3.7,40.6,53.5,65.7,33.4,59.9,-0.99,43.9,13.3,44.12399999999988,2.8,10.01150000000002,30.2,0.26700000000000035,62.0,13.0,29.444192916666665,31.51327591666667,15.472116666666668,48564489.0,5
Myanmar,2005,2248.0,98.0,49.0,61.7,18.3,256.0,-1.5,0.28,2200.0,1912.0,2.89,1751.0,0.590999999999999,0.2,2.1,40.22650000000009,146.6,0.9,13.6,5.9,5.9,15.0,21.4,3.5,39.1,55.2,66.2,35.0,60.2,-0.9,43.0,13.2,44.12399999999988,3.0,10.01150000000002,27.8,0.2745000000000004,60.0,13.0,31.0860355,34.4656345,5.568461250000001,48949931.0,5
Myanmar,2006,2250.0,100.0,52.7,64.7,20.7,276.0,-1.5,0.28,2263.0,2146.6,3.01,1752.0,0.4349999999999997,0.2,2.0,40.22650000000009,142.6,1.0,12.2,5.8,4.7,19.0,21.4,3.3,37.7,56.9,66.8,36.7,60.5,-0.85,42.1,13.1,43.71099999999987,3.2,10.01150000000002,24.8,0.27350000000000046,58.0,10.0,35.95435066666667,41.357550666666654,15.57868725,49301049.0,5
Myanmar,2007,2253.0,104.0,56.7,68.3,23.3,298.0,-2.1,0.28,2343.0,2388.4,3.04,1755.0,0.4364999999999997,0.2,1.9,32.00300000000004,138.4,1.1,10.5,5.7,8.6,16.0,21.4,3.1,36.4,58.7,67.3,38.4,60.8,-1.06,41.3,13.0,43.71099999999987,3.4,10.01150000000002,21.2,0.27350000000000046,57.0,9.0,46.41805691666667,55.84286625000001,28.885055250000004,49621479.0,5
