Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2323.0,123.77,78.21050000000027,87.84399999999991,46.31299999999992,93.0,97.27900000000001,0.21,3024.157894736842,69022.9,3.13,1802.0,0.10450000000000012,0.1,0.1,2.4465000000000034,0.7,2.0005000000000006,0.4709999999999993,1.7609999999999997,0.3934999999999998,9.630000000000013,51.0,49.9645,5.925000000000004,6.2,20.9,99.0,96.43699999999968,96.15749999999997,85.30899999999991,1.3,17.1,48.050499999999985,10.3,13.315999999999974,7.2,6.409,2.563000000000006,0.4910000000000001,48.335,4.575,89.31218899999998,95.14298200000002,0.6892031029166675
2001,2329.0,123.0,75.7,87.4,45.4,81.0,100.0,0.21,2859.0,69483.9,3.29,1806.0,0.10450000000000012,0.1,0.1,2.384000000000003,0.7,2.0055000000000005,0.1,1.7549999999999997,0.3934999999999998,7.5,63.0,50.0,5.924500000000004,6.4,21.0,99.0,96.27799999999968,96.15849999999999,90.63349999999996,1.264200000000003,16.6,48.050499999999985,9.5,13.315999999999974,7.5,6.409,2.6,0.4910000000000001,50.0,5.0,89.91182149999999,95.70993016666664,0.671642
2002,2337.0,125.0,78.7,89.7,47.7,85.0,99.6,0.21,2923.0,70771.6,3.16,1812.0,0.10450000000000012,0.1,0.1,2.384000000000003,0.6,2.0115000000000003,0.44949999999999946,1.7664999999999997,0.3934999999999998,6.9,31.0,50.0,6.029500000000006,6.6,21.0,99.0,96.26949999999968,96.16649999999996,85.30899999999991,1.16,16.3,57.97749999999996,9.2,13.315999999999974,7.9,6.409,2.5,0.4910000000000001,48.0,4.0,90.28605766666668,93.49427166666668,0.4162976666666667
2003,2345.0,127.0,81.7,90.3,48.3,86.0,95.7,0.21,2971.0,71483.2,3.17,1817.0,0.10450000000000012,0.1,0.1,2.364500000000003,0.6,2.0260000000000007,0.4349999999999995,1.7664999999999997,0.3934999999999998,6.7,40.0,50.0,6.197500000000006,6.8,20.9,99.0,96.44849999999965,96.16949999999996,85.30899999999991,1.15,16.0,59.94799999999995,9.1,13.315999999999974,8.2,6.409,2.5,0.4910000000000001,47.0,4.0,90.03375899999998,93.74358966666668,-0.2791260833333333
2004,2352.0,127.0,81.0,88.6,47.3,76.0,93.8,0.21,2996.0,70616.6,3.22,1822.0,0.10450000000000012,0.1,0.1,2.364500000000003,0.6,2.0375,0.41599999999999965,1.7464999999999997,0.3964999999999997,4.2,59.0,50.0,6.282000000000005,7.0,20.7,99.0,96.44899999999967,96.17649999999995,90.79299999999994,1.37,15.7,60.47349999999995,9.2,13.315999999999974,8.6,6.409,2.5,0.4910000000000001,46.0,4.0,90.485887,94.53049983333334,0.5037815833333333
2005,2360.0,127.0,79.3,87.3,47.0,79.0,98.1,0.21,3006.0,69787.8,3.18,1827.0,0.10450000000000012,0.1,0.1,2.364500000000003,0.6,2.0690000000000004,0.42449999999999966,1.7464999999999997,0.4179999999999995,6.4,65.0,50.0,6.213500000000008,7.1,20.5,99.0,96.41699999999965,96.18499999999999,90.79299999999994,1.21,15.5,62.07849999999994,9.5,13.315999999999974,9.0,6.409,2.5,0.4910000000000001,47.0,3.0,91.39391066666668,95.71874583333334,1.0049734166666666
2006,2365.0,126.0,78.7,85.0,45.7,84.0,91.1,0.21,2990.0,71843.5,3.04,1831.0,0.10450000000000012,0.1,0.1,2.364500000000003,0.6,2.0965000000000003,0.45299999999999946,1.7664999999999997,0.4239999999999993,18.3,39.0,42.9,6.216000000000008,7.3,20.2,99.0,96.40749999999963,96.18750000000004,85.3099999999999,1.12,15.5,62.184499999999936,9.9,13.315999999999974,9.4,6.409,2.5,0.4910000000000001,47.0,3.0,91.74807783333333,95.8654059166667,0.3875989166666667
2007,2372.0,126.0,79.4,84.7,46.0,98.0,87.6,0.21,2981.0,71051.7,3.03,1835.0,0.10450000000000012,0.1,0.1,2.364500000000003,0.7,2.1305000000000005,0.4509999999999995,1.7829999999999995,0.4279999999999993,17.2,22.0,37.5,6.287500000000006,7.5,19.8,99.0,96.3,96.18900000000005,85.3129999999999,1.11,15.4,64.10599999999994,10.4,13.459999999999978,9.8,6.409,2.5,0.4910000000000001,46.0,3.0,92.94998475,96.7915955,1.3095504999999998
2008,2378.0,125.0,80.0,83.7,45.3,99.0,83.5,0.21,2967.0,68856.2,3.12,1840.0,0.10450000000000012,0.1,0.1,2.3335000000000026,0.7,2.171999999999999,0.45099999999999957,2.2720000000000002,0.4519999999999996,14.6,37.0,30.0,5.645499999999999,7.7,19.3,99.0,96.3,96.20650000000006,85.32099999999991,1.13,15.2,65.48049999999994,10.9,13.610999999999974,10.2,6.409,2.5,0.49250000000000005,45.0,3.0,96.40876408333334,98.81056108333333,3.7160902500000006
2009,2384.0,125.0,80.3,84.3,45.7,101.0,90.9,0.21,2976.0,66851.1,3.05,1843.0,0.1,0.1,0.1,2.338500000000003,0.7,2.2484999999999995,0.4519999999999995,2.2960000000000007,0.4599999999999999,13.5,44.0,27.3,2.9,7.9,18.8,99.0,96.3,96.22300000000007,85.32599999999991,1.39,15.0,65.18199999999996,11.4,13.439499999999976,10.7,6.409,2.5,0.4990000000000001,45.0,3.0,99.14245941666668,99.83239858333332,2.8541022500000004
