Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2010,2241.0,109.0,33.7,62.7,18.0,253.0,-1.3,0.26,2453.0,2716.7,2.93,1742.0,0.2,0.1,0.6,38.16200000000006,47.1,0.2,1.9,2.2655000000000043,1.8,3.3,22.0,9.4,11.0,2.3,37.5,64.7,37.8,21.9,39.19750000000005,-0.5,46.3,72.8,12.9,47.29349999999984,2.7,15.96900000000005,13.3,0.6204999999999997,71.0,10.0,80.3203775,85.11257116666668,4.34402925
2011,2247.0,110.0,33.3,63.3,18.0,270.0,-1.1,0.26,2476.0,2862.9,2.97,1747.0,0.175,0.1,0.6,38.020000000000074,46.6,0.3,1.8,2.3605000000000054,1.8,2.7,25.0,9.3,10.557500000000003,2.2,35.9,65.5,40.9,22.5,43.68600000000009,-0.3,46.1,68.89199999999981,12.7,47.29349999999984,2.9,15.96900000000005,12.7,0.6579999999999999,71.0,8.0,85.52864941666667,89.77541874999999,6.474133583333334
2012,2251.0,111.0,34.0,64.3,18.7,281.0,-1.3,0.26,2503.0,3022.6,2.91,1751.0,0.18200000000000002,0.1,0.6,36.796000000000085,46.1,0.3,1.8,2.3855000000000057,1.9,11.2,18.0,9.3,10.367500000000007,2.1,34.4,66.3,43.9,23.1,44.61700000000012,-0.1,46.1,67.01249999999996,12.6,47.29349999999984,3.1,15.96900000000005,12.0,0.6579999999999999,71.0,6.0,88.23971300000002,92.40971325,3.2437319166666665
2013,2256.0,113.0,34.7,65.0,18.7,281.0,-2.5,0.26,2549.0,3191.9,2.9,1756.0,0.18750000000000008,0.1,0.6,21.35249999999995,45.5,0.3,1.6,2.3855000000000057,1.9,11.4,15.0,9.3,10.093000000000014,2.1,33.0,67.1,47.0,23.7,45.39500000000012,-0.14,46.2,65.39300000000001,12.4,47.29349999999984,3.3,15.96900000000005,10.8,0.6609999999999999,70.0,6.0,91.66408266666667,95.1280605,3.870492500000001
2014,2260.0,115.0,35.7,65.3,18.7,279.0,-4.6,0.26,2595.0,3364.3,2.9,1759.0,0.2,0.1,0.6,7.4444999999999935,45.0,0.3,1.5,2.3855000000000057,1.9,11.0,10.0,9.2,9.7,2.1,32.0,67.8,50.0,24.2,47.0400000000001,0.02,46.4,65.2,12.2,47.29349999999984,3.5,15.96900000000005,9.6,0.6975000000000001,70.0,6.0,96.144921,98.79590216666668,4.905246833333333
2015,2261.0,116.0,36.0,65.3,18.3,281.0,-6.3,0.26,2623.0,3546.3,2.9,1761.0,0.18600000000000003,0.1,0.6,7.6,44.6,0.4,1.4,2.6,2.0,13.1,24.0,9.1,9.418500000000018,2.0,31.3,68.4,53.1,24.8,47.90700000000011,0.06,46.5,64.68250000000002,12.1,48.9,3.7,16.9,8.9,0.7119999999999999,70.0,7.0,100.01284533333332,100.00509691666666,4.02601175
2016,2263.0,116.0,35.7,65.3,18.3,187.0,-7.4,0.26,2631.0,3733.5,2.9,1762.0,0.16900000000000007,0.1,0.5,7.2,47.71875000000001,0.4,1.3,2.2,2.0,19.0,27.0,9.1,9.292000000000014,2.0,30.7,69.1,56.2,25.4,46.678499999999985,0.21,46.7,63.61000000000001,12.086999999999975,45.4,3.9,14.3,8.5,0.7119999999999999,69.0,10.0,105.606004,103.02439058333334,5.587769916666668
2017,2265.0,118.0,35.3,65.3,18.7,94.0,-7.6,0.25,2657.0,3928.4,2.9,1763.0,0.16950000000000007,0.1,0.5,7.2,47.71875000000001,0.4620000000000004,1.2,2.2,2.0,17.7,27.0,9.1,9.136000000000012,2.0,30.4,69.7,59.3,26.0,47.64849999999995,0.09,46.8,63.90600000000001,11.929499999999983,44.9,4.278999999999993,14.0,7.7,0.7125,69.0,12.0,109.18388800000002,106.02511558333332,3.416926000000001
2018,2266.0,119.0,60.82549999999992,69.6705,23.68599999999999,211.2941176470588,14.241,0.25,2683.0,4159.3,2.9,1764.0,0.1725000000000001,0.1,0.5,7.2,47.71875000000001,0.4620000000000004,1.1,2.2,2.1,16.332999999999966,27.0,9.163999999999973,9.146000000000013,2.0,30.2,70.3,62.5,26.6,49.47799999999994,0.11,47.0,63.90600000000001,11.91399999999998,44.1,4.3259999999999925,13.6,6.8,0.7125,60.58,12.0,111.86396708333336,108.6323635,2.454740416666666
2019,2268.0,120.0,61.041999999999916,69.91450000000002,23.971999999999984,211.2941176470588,14.411499999999997,0.24,2709.0,4388.8,2.9,1765.0,0.1725000000000001,0.1,0.5,7.4,47.71875000000001,0.4620000000000004,1.0,2.2,2.1,16.332999999999966,26.0,9.32299999999997,8.922000000000013,2.0,30.0,70.8,65.6,27.2,50.760999999999946,-0.08,47.1,63.90600000000001,11.734999999999982,44.8,4.722999999999993,13.4,6.2,0.7125,60.58,11.62,114.18010925,110.74262849999998,2.070483249999999
2020,2271.0,120.815,63.79899999999989,69.91450000000002,24.67299999999999,211.2941176470588,14.357499999999998,0.24,2466.4736842105262,4191.9,2.9,1767.0,0.1725000000000001,0.1,0.5,7.296500000000018,47.71875000000001,0.307499999999999,1.045999999999999,1.9774999999999947,2.090500000000005,16.332999999999966,25.81,9.32299999999997,8.905500000000012,2.1,29.9,71.2,68.8,27.8,50.187499999999936,0.13934999999999975,46.67050000000008,63.90600000000001,11.559999999999985,41.96250000000006,4.732999999999995,13.489000000000026,6.591000000000011,0.7125,59.44,11.07,119.48582441666667,113.99878883333334,4.644016333333334
