Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.329489","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.310053","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.366591","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.316025","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.809118","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.314972","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.958844","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.207017","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","102.008496","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","101.497299","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","102.555517","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","106.519865","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","89.088026","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","89.778619","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","90.197256","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","90.244752","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","90.063901","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","91.26204","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","91.668955","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","92.369754","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","95.037309","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.025844","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.58704","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.567614","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.624142","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.586851","X","International reliable sources","base year is 2015"
