Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,72.30195075,75.25475908333333,
2001,72.67540749999999,76.00519783333334,0.516552
2002,72.83746500000002,75.70750341666667,0.22318441666666666
2003,73.07686775,76.09202558333335,0.32868116666666664
2004,74.09341,77.35722841666666,1.3903365
2005,72.3939395,77.68273,-2.2917994999999998
2006,73.81223841666667,78.43073833333332,1.9596963333333335
2007,76.79215275000001,80.08161125,4.031099166666667
2008,84.25423516666666,85.38924575,9.732986666666667
2009,86.37982591666668,85.89878058333335,2.5671424166666665
2010,88.39792949999999,88.32427133333334,2.339372416666667
2011,91.54548841666667,92.95934658333334,3.5623071666666664
2012,93.78511291666668,97.21279691666666,2.4500005833333334
2013,95.95555633333332,99.50566191666665,2.3162909166666665
2014,98.79082725,100.52574241666666,2.9564644999999996
2015,100.00087566666669,100.0003765,1.2287415833333333
2016,102.30233824999999,99.46810566666664,2.30281025
2017,103.62022741666668,100.04130108333334,1.2884244166666665
2018,104.96085283333332,100.4801025,1.2940671666666665
2019,106.16010825,101.04807666666666,1.1428373333333333
2020,109.23698200000001,100.8642535,2.9000233333333334
2021,110.59842622222224,102.62858088888889,1.3001922222222222
