Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,26.992557333333334,38.27078999999999,
2001,30.071333666666664,41.260430666666664,11.559259416666668
2002,32.58158083333333,45.64696933333334,8.331421666666667
2003,36.75836883333333,52.71738958333333,12.777793166666669
2004,41.32624958333333,58.23282341666667,12.482313916666667
2005,47.03034683333333,62.40441391666667,13.747284500000001
2006,51.26324508333334,66.489154,9.075910833333333
2007,55.62179125,69.58886,8.53708325
2008,61.695993999999985,74.89766133333332,10.900381916666667
2009,63.01045000000001,75.00340741666668,2.24645175
2010,68.23883183333334,79.49052016666667,8.257440333333333
2011,75.27402874999999,85.50714858333333,10.3744495
2012,79.49151316666666,89.14558625000001,5.677351250000001
2013,89.50620883333335,94.82543225,12.562466583333332
2014,95.66721533333333,98.74100491666667,6.975797249999999
2015,100.01797708333334,100.00227725,4.543123416666666
2016,104.31876083333333,101.599226,4.3033417499999995
2017,104.21706641666668,102.43790574999998,-0.07117533333333334
2018,105.50629300000001,104.52804133333332,1.2359161666666667
2019,110.44332049999998,108.00104691666667,4.665818000000001
2020,119.94956133333334,113.51349900000001,8.684701666666667
2021,122.95973388888888,116.717249,3.0032816666666666
