Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,50.998265333333315,55.13615675,
2001,52.837494166666666,58.11503166666668,3.6137593333333338
2002,53.89155491666667,59.6973715,1.9967001666666666
2003,54.42934108333335,61.0519505,0.9982192500000001
2004,57.720592666666654,63.97688208333333,6.034824583333332
2005,61.37753891666667,68.19645525,6.356637833333334
2006,64.5450995,71.92454408333333,5.1698045
2007,66.93824816666667,74.04032441666666,3.7032716666666663
2008,75.60736166666666,80.09996741666666,12.930978083333335
2009,80.35601383333334,83.47442724999998,6.404638333333334
2010,83.55584183333333,86.63311333333333,3.984467666666667
2011,88.13240225,90.72082475,5.483604499999999
2012,90.49192699999999,93.46691158333333,2.6761668333333333
2013,92.79193016666666,95.88087008333332,2.5409804166666667
2014,98.14603566666665,99.33049433333333,5.77024425
2015,100.00112033333335,100.00017325,1.9137715000000002
2016,101.58472908333333,101.25387416666668,1.5823200833333333
2017,104.68407758333332,104.14283725,3.050305416666666
2018,111.85556274999999,109.57035016666664,6.841128833333333
2019,114.16310691666665,112.28800008333333,2.1069521666666664
2020,117.28507841666668,115.247046,2.732037416666667
2021,123.0891298888889,119.8465451111111,5.5814538888888885
