Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,89.31218899999999,95.14298200000002,
2001,89.91182149999999,95.70993016666664,0.671642
2002,90.28605766666668,93.49427166666668,0.4162976666666667
2003,90.03375899999999,93.74358966666667,-0.27912608333333333
2004,90.48588699999999,94.53049983333334,0.5037815833333333
2005,91.39391066666667,95.71874583333334,1.0049734166666666
2006,91.74807783333331,95.8654059166667,0.3875989166666667
2007,92.94998475000001,96.79159549999999,1.3095505
2008,96.40876408333334,98.81056108333333,3.7160902500000006
2009,99.14245941666668,99.83239858333332,2.8541022500000004
2010,99.21583650000001,100.05916750000002,0.07424916666666667
2011,99.22505816666667,100.19716058333334,0.009298833333333334
2012,99.22359833333333,100.30914741666668,-0.0015004166666666666
2013,99.32808341666667,100.69955566666668,0.10574416666666665
2014,99.10505825,100.49099808333331,-0.22458291666666666
2015,100.00077550000002,100.00025283333332,0.9061280833333334
2016,99.4878589166667,99.72155874999999,-0.509942
2017,99.76254100000001,98.46456308333332,0.280608
2018,101.66450108333332,99.47387575,1.9140986666666662
2019,100.95014375000001,99.08540849999999,-0.7024511666666666
2020,103.48012225000001,101.00798225,2.509169583333333
2021,105.49017777777776,102.4327598888889,2.367075222222222
