Area,Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
Malaysia,2002,2295.0,123.0,85.7,75.0,41.3,395.0,77.7,0.21,2818.0,16155.6,3.06,1782.0,,0.1,0.5,,48.0,1.2,0.7,,2.2,13.2,48.0,39.9,,5.6,19.1,96.9,97.2,92.8,66.1,0.54,34.2,,9.9,,7.9,,2.8,0.5,44.0,3.0,63.14152574999999,73.71673566666665,0.7037986666666667
Malaysia,2003,2304.0,122.0,86.0,76.0,41.7,405.0,85.1,0.22,2820.0,16751.4,2.97,1789.0,,0.1,0.5,,47.4,1.3,0.7,,2.2,9.9,60.0,39.1,,5.7,18.8,96.9,97.5,92.8,66.3,0.49,33.5,,10.0,,8.4,,2.9,0.5,45.0,3.0,63.98742599999998,74.52000925,1.3400846666666666
Malaysia,2004,2313.0,122.0,85.7,76.7,41.7,420.0,82.6,0.22,2823.0,17538.5,2.97,1794.0,,0.1,0.5,,47.3,1.4,0.8,,2.2,7.2,57.0,39.5,,5.8,18.6,97.0,97.7,92.9,66.5,0.35,32.9,,10.1,,8.9,,3.1,0.5,46.0,3.0,65.39379999999998,75.57914075000001,2.1968986666666663
Malaysia,2005,2321.0,122.0,85.0,78.0,42.0,431.0,86.3,0.22,2826.0,18114.1,3.06,1800.0,,0.1,0.5,,47.7,1.5,0.8,,2.2,8.6,29.0,40.4,,5.8,18.3,97.0,97.9,93.0,66.7,0.56,32.5,,10.2,,9.4,,3.2,0.5,47.0,4.0,67.76970825,77.82767375,3.6323453333333333
Malaysia,2006,2329.0,121.0,83.7,78.7,42.0,438.0,81.1,0.22,2826.0,18752.5,3.01,1805.0,0.3,0.1,0.5,,48.5,1.7,0.9,,2.2,10.0,22.0,42.3,13.2,5.9,18.1,97.0,98.1,93.0,66.9,0.29,32.0,,10.4,,9.9,,3.4,0.5,47.0,4.0,70.05128866666668,80.63665783333333,3.370240666666667
Malaysia,2007,2336.0,121.0,83.3,77.6,41.3,449.0,77.2,0.22,2820.0,19547.0,2.91,1810.0,,0.1,0.4,,49.6,1.8,1.0,,2.2,11.5,19.0,43.8,,5.9,17.9,97.0,98.3,93.1,67.1,0.19,31.5,,10.6,,10.4,,3.6,0.5,46.0,4.0,72.16909216666666,82.27144758333334,3.0210946666666665
Malaysia,2008,2343.0,121.0,83.7,77.3,41.3,455.0,72.8,0.22,2828.0,20103.5,2.85,1814.0,,0.1,0.4,,51.0,1.9,1.0,,2.3,6.0,20.0,44.7,,5.9,17.9,97.0,98.5,93.2,67.6,0.11,31.1,,10.7,,10.9,,3.6,0.5,46.0,5.0,78.55638691666667,86.747658,8.832798416666666
Malaysia,2009,2350.0,121.0,85.4,77.4,42.0,460.0,69.5,0.22,2840.0,19443.0,2.91,1818.0,,0.1,0.4,,52.4,2.1,1.0,,2.3,10.0,22.0,44.9,,6.0,17.8,97.0,98.7,93.2,68.1,-0.04,30.7,,10.9,,11.5,,3.5,0.5,45.0,5.0,81.80933283333334,87.25366425,4.26261525
Malaysia,2010,2357.0,122.0,86.7,78.7,43.0,464.0,71.1,0.22,2875.0,20536.4,2.94,1822.0,,0.1,0.4,,53.8,2.2,0.9,,2.3,8.6,25.0,46.3,,6.0,17.9,97.0,98.8,93.3,69.0,0.14,30.4,,11.1,,12.0,,3.2,0.7,45.0,6.0,83.78102066666666,88.66966233333333,2.409906916666667
Malaysia,2011,2363.0,123.0,88.0,79.3,43.7,470.0,72.3,0.22,2900.0,21289.3,2.9,1826.0,,0.1,0.4,,55.3,2.4,0.8,,2.3,11.3,35.0,47.8,,6.0,18.1,97.0,99.0,93.4,69.9,0.08,30.2,,11.2,,12.6,,3.0,0.7,44.0,6.0,87.809827,91.48445516666668,4.806543083333334
Malaysia,2012,2368.0,123.0,88.3,80.0,44.0,481.0,72.6,0.22,2919.0,22132.2,2.91,1829.0,,0.1,0.4,,56.7,2.6,0.8,,2.4,12.5,44.0,50.6,,6.0,18.3,97.0,99.0,93.4,70.8,-0.01,30.1,,11.3,,13.1,,2.8,,44.0,6.0,90.16985566666666,93.00636408333332,2.694544083333333
Malaysia,2013,2372.0,122.0,89.0,79.7,44.7,480.0,76.4,0.22,2896.0,22855.9,2.86,1832.0,,0.1,0.5,,57.9,2.7,0.9,,2.4,11.2,53.0,53.1,,6.1,18.5,97.0,99.0,93.5,71.8,0.05,30.2,,11.4,,13.7,,3.2,,43.0,6.0,93.38172899999999,94.96415958333336,3.5604490833333333
Malaysia,2014,2375.0,121.0,90.7,79.0,45.0,480.0,74.8,0.22,2878.0,23906.2,2.86,1834.0,,0.2,0.5,,58.8,2.9,1.0,,2.5,9.1,39.0,54.6,,6.1,18.8,97.0,99.0,93.5,72.7,0.27,30.4,,11.4,,14.3,,3.4,,43.0,6.0,96.50283241666665,97.94887391666667,3.3469289166666667
Malaysia,2015,2378.0,119.0,91.0,78.0,45.0,477.0,73.9,0.22,2842.0,24787.8,2.86,1836.0,0.2,0.2,0.5,5.3,59.5,3.1,1.1,2.4,2.5,9.7,42.0,54.0,8.0,6.1,19.1,97.1,99.0,93.6,73.4,0.26,30.7,,11.3,17.4,14.9,7.8,3.8,,42.0,6.0,100.00796433333333,100.01010008333333,3.6283317499999996
Malaysia,2016,2379.0,120.0,92.3,77.7,44.3,315.0,70.6,0.22,2857.0,25541.8,2.86,1837.0,0.3,0.2,0.5,4.6,,3.3,1.1,2.1,2.6,10.6,44.0,53.5,11.5,6.1,19.5,97.1,99.0,93.6,74.3,0.14,30.9,40.3,,15.1,15.6,6.7,3.5,,42.0,6.0,103.876177,102.10087783333334,3.874704416666667
Malaysia,2017,2380.0,120.0,91.3,77.3,43.7,156.0,71.9,0.21,2850.0,26661.5,2.86,1838.0,,0.2,0.5,4.7,,,1.1,2.1,2.6,11.1,51.0,53.5,,6.1,19.9,97.1,99.0,93.7,75.9,0.12,31.3,,,15.1,,6.7,3.4,0.8,42.0,6.0,108.212206,106.05340808333335,4.174879583333333
Malaysia,2018,2381.0,120.0,,,,,,0.21,2862.0,27558.1,2.86,1839.0,,0.2,0.5,4.7,,,1.0,2.1,2.7,,46.0,,,6.1,20.3,97.1,99.0,93.7,77.5,0.26,31.6,,,15.1,,6.7,3.2,0.8,,5.0,109.67849600000001,106.99167241666667,1.3626737500000001
Malaysia,2019,2382.0,120.0,,,,,,0.21,2860.0,28364.5,2.86,1840.0,0.3,0.2,0.5,6.0,,,1.0,2.4,2.8,,19.0,,9.7,6.1,20.6,97.1,,93.8,,0.11,32.0,,,18.7,,7.5,3.2,,,,111.48692033333333,107.70091141666664,1.6512072500000006
Malaysia,2020,2382.0,,,,,,,0.21,,26435.2,2.86,1840.0,,0.2,0.5,,,,,,,,,,,6.1,20.9,97.1,,93.8,,,,,,,,,,,,,112.904334,106.47451883333336,1.2711849999999998
Myanmar,2000,2239.0,,,,,,,0.28,,1093.8,2.55,1743.0,0.6,0.2,2.4,,156.8,0.6,,,6.3,,38.0,,10.7,4.5,47.0,47.0,63.5,27.1,58.4,-1.67,47.6,10.5,13.9,,2.2,,,,,,10.795567083333333,11.602793083333333,
Myanmar,2001,2240.0,90.0,38.7,51.3,10.7,210.0,-5.4,0.28,2025.0,1204.8,2.57,1744.0,,0.2,2.4,,156.1,0.7,17.7,,6.2,8.4,36.0,19.4,,4.3,45.3,48.6,64.0,28.6,58.9,,46.6,,13.7,,2.3,,37.6,,66.0,10.0,11.796991583333332,14.051133916666666,9.323590250000002
Myanmar,2002,2242.0,92.0,40.3,53.3,11.7,219.0,-5.7,0.28,2071.0,1336.2,2.64,1746.0,,0.2,2.3,,154.8,0.7,16.6,,6.2,6.0,34.0,20.0,,4.1,43.6,50.2,64.6,30.2,59.2,-1.41,45.7,,13.6,,2.5,,34.8,,65.0,9.0,17.4717005,22.070749916666667,47.40249941666665
Myanmar,2003,2243.0,94.0,43.0,56.0,13.7,227.0,-4.1,0.28,2112.0,1507.1,2.72,1747.0,0.6,0.2,2.3,,152.7,0.8,15.6,,6.1,6.2,17.0,20.7,11.7,3.9,42.1,51.8,65.1,31.7,59.6,-1.15,44.8,,13.4,,2.6,,32.4,,63.0,11.0,25.688701249999998,30.149242333333333,48.259490416666665
Myanmar,2004,2246.0,96.0,46.0,58.7,15.7,238.0,-2.0,0.28,2153.0,1696.9,2.85,1749.0,,0.2,2.2,,149.9,0.9,14.7,,6.0,4.3,11.0,21.1,,3.7,40.6,53.5,65.7,33.4,59.9,-0.99,43.9,,13.3,,2.8,,30.2,,62.0,13.0,29.444192916666665,31.513275916666668,15.472116666666667
Myanmar,2005,2248.0,98.0,49.0,61.7,18.3,256.0,-1.5,0.28,2200.0,1912.0,2.89,1751.0,,0.2,2.1,,146.6,0.9,13.6,,5.9,5.9,15.0,21.4,,3.5,39.1,55.2,66.2,35.0,60.2,-0.9,43.0,,13.2,,3.0,,27.8,,60.0,13.0,31.086035500000005,34.4656345,5.568461250000001
Myanmar,2006,2250.0,100.0,52.7,64.7,20.7,276.0,-1.5,0.28,2263.0,2146.6,3.01,1752.0,,0.2,2.0,,142.6,1.0,12.2,,5.8,4.7,19.0,21.4,,3.3,37.7,56.9,66.8,36.7,60.5,-0.85,42.1,,13.1,,3.2,,24.8,,58.0,10.0,35.95435066666667,41.35755066666666,15.578687249999996
Myanmar,2007,2253.0,104.0,56.7,68.3,23.3,298.0,-2.1,0.28,2343.0,2388.4,3.04,1755.0,,0.2,1.9,,138.4,1.1,10.5,,5.7,8.6,16.0,21.4,,3.1,36.4,58.7,67.3,38.4,60.8,-1.06,41.3,,13.0,,3.4,,21.2,,57.0,9.0,46.41805691666667,55.84286625000001,28.885055250000004
Myanmar,2008,2257.0,107.0,62.0,71.7,26.0,313.0,-2.7,0.28,2412.0,2617.1,3.09,1758.0,,0.2,1.8,,134.2,1.1,9.2,,5.7,12.1,16.0,21.1,,2.9,35.2,60.5,67.8,40.1,61.1,-1.09,40.5,,12.9,,3.6,,18.4,,54.0,9.0,61.02902358333335,70.80849608333332,31.614603416666668
Myanmar,2009,2261.0,111.0,66.4,75.7,29.0,323.0,-2.8,0.28,2512.0,2874.8,3.17,1761.0,0.4,0.1,1.7,,130.3,1.2,7.6,,5.6,15.9,31.0,21.2,7.9,2.7,34.1,62.3,68.3,41.9,61.0,-1.29,40.0,23.6,12.8,,3.8,,15.1,,53.0,11.0,70.61603825,71.85104,16.230458916666663
Myanmar,2010,2265.0,114.0,69.3,79.0,31.7,323.0,-3.1,0.28,2581.0,3129.9,3.25,1764.0,,0.1,1.6,,126.8,1.3,6.6,,5.6,13.8,32.0,21.3,,2.6,33.2,64.1,68.8,43.7,61.0,-1.29,39.6,,12.7,,4.0,,13.1,,52.0,12.0,73.33459275000001,77.39677775,3.8502414166666665
Myanmar,2011,2271.0,117.0,70.0,81.3,33.0,317.0,-2.2,0.28,2642.0,3279.7,3.34,1768.0,,0.1,1.6,,123.9,1.4,5.8,,5.6,6.6,64.0,21.4,,2.4,32.5,65.9,69.3,45.3,61.0,-1.11,39.4,,12.6,,4.3,,11.4,,52.0,14.0,76.05314716666666,81.28322608333333,3.7074777500000002
Myanmar,2012,2276.0,117.0,69.7,82.0,33.3,313.0,-2.0,0.28,2654.0,3491.2,3.3,1771.0,,0.1,1.5,,121.4,1.5,5.8,,5.7,8.5,57.0,21.3,,2.2,31.9,67.8,69.8,46.8,61.0,-0.94,39.4,,12.5,,4.6,,11.2,,52.0,15.0,78.77170174999999,82.47612500000001,3.57492375
Myanmar,2013,2281.0,118.0,70.7,83.7,34.3,313.0,-2.3,0.28,2690.0,3753.3,3.37,1774.0,,0.1,1.5,,119.2,1.6,5.4,,5.7,15.9,48.0,21.3,,2.1,31.1,69.7,70.3,48.3,61.0,-1.14,39.6,,12.5,,4.8,,10.5,,52.0,15.0,82.85344008333333,87.13028474999999,5.159165333333333
Myanmar,2014,2286.0,119.0,72.3,85.7,36.3,319.0,-3.5,0.28,2730.0,4020.0,3.37,1778.0,,0.1,1.4,,117.4,1.8,5.1,,5.8,15.7,49.0,21.2,,2.0,30.3,71.6,70.8,49.8,61.0,-1.09,40.0,,12.4,,5.1,,9.7,,52.0,15.0,88.55862508333333,91.44610858333333,6.931077750000001
Myanmar,2015,2292.0,121.0,75.3,88.3,38.3,321.0,-3.2,0.28,2771.0,4268.5,3.37,1781.0,,0.1,1.4,0.0,116.2,1.9,4.7,0.0,5.9,12.1,43.0,21.1,,1.9,29.5,73.6,71.3,51.3,60.9,-1.17,40.4,51.2,12.3,0.0,5.4,0.0,8.9,,51.0,18.0,100.18520333333333,100.09158074999999,13.05069425
Myanmar,2016,2296.0,122.0,75.7,89.0,39.0,214.0,-3.7,0.28,2796.0,4482.9,3.37,1783.0,0.3,0.1,1.3,0.0,,2.1,4.5,0.0,6.0,6.6,22.0,20.9,6.6,1.8,28.6,75.6,71.7,52.8,60.9,-0.8,40.9,,,0.0,5.8,0.0,8.4,,51.0,20.0,109.42877533333335,107.02675141666668,9.427205833333334
Myanmar,2017,2300.0,123.0,77.0,89.7,39.7,107.0,-2.7,0.28,2818.0,4739.9,3.37,1786.0,,0.1,1.3,0.0,,,4.3,0.0,6.1,6.8,14.0,20.8,,1.7,27.8,77.6,72.2,54.4,60.9,-1.08,41.2,,,0.0,,0.0,8.1,,51.0,17.0,114.23840433333334,111.92058883333333,4.484645583333333
Myanmar,2018,2303.0,123.0,,,,,,0.28,2836.0,5029.2,3.37,1788.0,0.3,0.1,1.2,0.0,,,4.2,0.0,6.2,,15.0,,6.7,1.6,26.9,79.6,72.7,56.0,60.8,-1.26,41.7,,,0.0,,0.0,7.8,,,12.0,121.75126675,119.61213966666666,6.561484916666668
Myanmar,2019,2306.0,123.0,,,,,,0.28,2851.0,5082.5,3.37,1790.0,,0.1,1.2,12.0,,,4.1,1.0,6.3,,19.0,,,1.6,26.1,81.7,73.2,57.6,60.8,-1.26,42.1,,,22.2,,1.9,7.6,,,,132.71482899999998,130.167991,9.023918333333334
Myanmar,2020,2309.0,,,,,,,0.28,,4544.0,3.37,1792.0,,0.1,1.1,,,,,,,,,,,1.5,25.2,83.7,73.6,58.8,60.7,,,,,,,,,,,,136.44571025,135.09810199999998,2.8597389166666667
Philippines,2000,2161.0,,,,,,,0.3,,4453.8,3.22,1694.0,,0.3,3.8,,498.1,1.4,,,4.9,,38.0,,,2.4,35.7,86.0,61.1,36.3,43.2,-1.39,25.0,,21.5,,3.3,,,,,,50.998265333333315,55.13615675,
Philippines,2001,2163.0,110.0,47.7,53.7,22.0,192.0,25.5,0.3,2374.0,4492.7,3.22,1695.0,,0.3,3.9,,500.4,1.5,14.9,,4.9,10.2,38.0,27.6,,2.4,35.3,86.3,61.5,36.4,43.5,,24.3,,21.4,,3.4,,18.7,,57.0,6.0,52.837494166666666,58.11503166666668,3.6137593333333338
Philippines,2002,2165.0,110.0,46.7,54.0,22.0,194.0,24.7,0.3,2373.0,4562.8,3.27,1697.0,,0.3,3.9,,501.2,1.6,15.0,,4.9,7.4,28.0,27.9,,2.5,35.0,86.7,61.9,38.4,43.9,-0.86,23.8,,21.3,,3.6,,18.4,,57.0,6.0,53.89155491666667,59.6973715,1.9967001666666666
Philippines,2003,2168.0,111.0,46.3,54.7,22.3,196.0,22.8,0.29,2402.0,4697.5,3.28,1699.0,0.7,0.3,3.9,,500.4,1.7,14.2,,4.9,5.2,25.0,27.9,6.0,2.5,34.6,87.1,62.3,40.5,44.2,-1.56,23.3,34.0,21.2,,3.7,,17.1,,58.0,6.0,54.42934108333335,61.0519505,0.9982192500000001
Philippines,2004,2171.0,112.0,45.7,55.3,22.7,197.0,21.2,0.29,2428.0,4908.1,3.22,1701.0,,0.3,3.9,,498.3,1.9,13.7,,4.9,0.9,19.0,27.9,,2.6,34.3,87.5,62.7,42.6,44.6,-1.71,22.8,,21.1,,3.9,,16.2,,59.0,6.0,57.720592666666654,63.97688208333333,6.034824583333332
Philippines,2005,2175.0,114.0,46.3,56.7,23.0,199.0,21.7,0.29,2468.0,5054.2,3.25,1703.0,,0.3,3.9,,495.3,2.0,12.9,,4.9,1.1,23.0,27.8,,2.7,34.0,87.9,63.1,44.2,44.9,-1.18,22.2,,21.0,,4.1,,14.9,,60.0,6.0,61.37753891666667,68.19645525,6.356637833333334
Philippines,2006,2181.0,115.0,47.7,57.7,23.7,203.0,22.2,0.29,2504.0,5228.3,3.25,1707.0,,0.3,3.8,,491.4,2.1,12.3,,4.8,0.7,23.0,27.7,,2.8,33.7,88.3,63.5,44.7,45.3,-1.64,21.8,,20.9,,4.2,,14.0,,60.0,6.0,64.5450995,71.92454408333333,5.1698045
Philippines,2007,2188.0,116.0,49.0,58.7,24.3,208.0,22.0,0.29,2540.0,5474.7,3.3,1712.0,,0.3,3.8,,487.6,2.3,11.7,,4.8,1.2,30.0,27.6,,2.9,33.4,88.7,64.7,44.8,46.2,-1.6,21.1,,20.8,,4.4,,13.1,,59.0,8.0,66.93824816666667,74.04032441666666,3.7032716666666663
Philippines,2008,2197.0,117.0,50.0,59.3,25.0,211.0,22.4,0.29,2567.0,5618.5,3.31,1718.0,0.7,0.3,3.7,,484.0,2.4,11.4,,4.7,4.1,41.0,27.7,6.6,2.9,33.1,89.1,66.0,45.0,47.2,-1.78,20.2,33.0,20.7,,4.6,,12.6,0.2,59.0,9.0,75.60736166666666,80.09996741666666,12.930978083333335
Philippines,2009,2205.0,117.0,50.7,60.0,25.0,209.0,22.9,0.29,2569.0,5606.6,3.37,1723.0,,0.3,3.6,,481.3,2.6,11.8,,4.6,5.8,31.0,28.3,,3.0,32.9,89.5,67.2,45.1,48.2,-1.73,19.5,,20.6,,4.8,,12.8,,59.0,10.0,80.35601383333334,83.47442724999998,6.404638333333334
Philippines,2010,2212.0,116.0,51.7,60.0,24.7,208.0,21.6,0.29,2556.0,5918.4,3.39,1728.0,,0.3,3.6,,479.7,2.8,12.6,,4.5,5.3,28.0,28.6,,3.1,32.7,89.9,68.5,45.3,49.2,-1.65,18.7,,20.6,,5.0,,13.4,,59.0,10.0,83.55584183333333,86.63311333333333,3.984467666666667
Philippines,2011,2215.0,115.0,52.0,59.7,24.3,209.0,20.0,0.29,2549.0,6043.6,3.35,1730.0,0.8,0.4,3.6,,479.4,3.0,13.1,,4.4,4.4,22.0,29.0,7.0,3.3,32.4,90.3,69.9,45.5,50.2,-1.39,17.8,,20.5,,5.2,,13.7,,59.0,10.0,88.13240225,90.72082475,5.483604499999999
Philippines,2012,2217.0,115.0,51.7,59.0,24.0,212.0,17.8,0.29,2551.0,6351.3,3.32,1731.0,,0.4,3.6,,479.5,3.2,13.3,,4.2,3.3,41.0,29.3,,3.4,32.2,90.8,71.2,45.7,51.4,-1.19,16.9,,20.4,,5.4,,13.7,,59.0,10.0,90.49192699999999,93.46691158333333,2.6761668333333333
Philippines,2013,2219.0,115.0,50.6,59.3,24.3,209.0,17.6,0.29,2547.0,6666.3,3.3,1732.0,0.9,0.4,3.6,,479.8,3.4,13.7,,4.1,4.0,42.0,29.9,7.6,3.5,31.8,91.2,72.6,45.9,52.5,-1.08,15.9,,20.3,,5.7,,13.8,,59.0,9.0,92.79193016666666,95.88087008333332,2.5409804166666667
Philippines,2014,2221.0,115.0,51.0,59.7,24.7,203.0,17.7,0.29,2550.0,6973.6,3.3,1734.0,,0.4,3.6,,480.2,3.6,13.9,,3.9,3.9,38.0,30.5,,3.6,31.3,91.6,73.9,46.1,53.6,-0.71,15.2,,20.2,,5.9,,13.8,,59.0,10.0,98.14603566666665,99.33049433333333,5.77024425
Philippines,2015,2225.0,115.0,51.0,60.7,25.3,195.0,19.7,0.29,2572.0,7300.1,3.3,1736.0,0.8,0.4,3.6,42.1,480.7,3.9,13.6,3.3,3.8,4.9,43.0,31.6,6.8,3.7,31.1,92.0,75.3,46.3,54.8,-0.86,14.5,,20.1,41.2,6.2,3.2,13.3,0.2,58.0,11.0,100.00112033333335,100.00017325,1.9137715000000002
Philippines,2016,2228.0,117.0,52.7,61.3,25.3,127.0,21.2,0.29,2619.0,7705.1,3.3,1738.0,,0.4,3.5,0.0,,4.1,12.5,0.0,3.7,6.1,34.0,32.7,,3.8,30.5,92.4,76.7,46.6,55.9,-1.38,13.9,,,0.0,6.4,0.0,12.1,0.2,58.0,12.0,101.58472908333333,101.25387416666668,1.5823200833333333
Philippines,2017,2234.0,120.0,54.0,62.0,25.7,62.0,23.2,0.29,2672.0,8120.9,3.3,1742.0,,0.4,3.4,0.0,,,11.4,0.0,3.6,8.3,34.0,33.8,,3.9,29.9,92.9,78.0,46.8,57.1,-1.18,13.3,,,0.0,,0.0,10.9,,58.0,13.0,104.68407758333332,104.14283725,3.050305416666666
Philippines,2018,2240.0,122.0,,,,,,0.29,2731.0,8516.1,3.3,1746.0,0.6,0.4,3.3,44.0,,,10.3,3.4,3.5,,33.0,,5.6,4.0,29.9,93.3,79.4,47.0,58.3,-1.08,12.8,,,41.2,,3.2,9.7,,,14.0,111.85556274999999,109.57035016666664,6.841128833333333
Philippines,2019,2247.0,123.0,,,,,,0.29,2770.0,8914.7,3.3,1751.0,,0.4,3.2,46.1,,,10.1,4.3,3.5,,44.0,,,4.1,29.4,93.7,80.8,47.2,59.5,-0.88,12.3,,,42.7,,4.0,9.4,,,,114.16310691666665,112.28800008333333,2.1069521666666664
Philippines,2020,2252.0,,,,,,,0.31,,7953.6,3.3,1754.0,,0.4,3.0,,,,,,,,,,,4.2,28.7,94.1,82.3,47.5,60.6,,,,,,,,,,,,117.28507841666668,115.247046,2.732037416666667
Singapore,2000,2445.0,,,,,,,,,56106.7,,1888.0,0.1,0.1,0.1,,4.9,0.1,,,0.1,,,,3.6,3.0,4.4,99.0,99.0,99.0,99.0,1.14,12.3,,9.8,,4.4,,,,,,72.30195075,75.25475908333333,
Singapore,2001,2449.0,,,,,5.0,,,,54029.7,,1891.0,,0.1,0.1,,4.8,0.1,0.0,,0.1,3.0,,,,3.0,4.3,99.0,99.0,99.0,99.0,,12.1,,9.8,,4.5,,0.0,,,2.0,72.67540749999999,76.00519783333334,0.516552
Singapore,2002,2452.0,,,,,5.0,,,,55634.7,,1893.0,,0.1,0.1,,4.7,0.1,0.0,,0.1,2.5,,,,3.1,4.2,99.0,99.0,99.0,99.0,1.26,11.9,,9.8,,4.6,,0.0,,,2.0,72.83746500000002,75.70750341666667,0.22318441666666666
Singapore,2003,2455.0,,,,,6.0,,,,59022.1,,1894.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,2.5,,,,3.1,4.1,99.0,99.0,99.0,99.0,0.88,11.8,,9.7,,4.7,,0.0,,,2.0,73.07686775,76.09202558333335,0.32868116666666664
Singapore,2004,2458.0,,,,,6.0,,,,64011.4,,1896.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,2.4,,,,3.2,4.0,99.0,99.0,99.0,99.0,1.09,11.7,,9.7,,4.8,,0.0,,,2.0,74.09341,77.35722841666666,1.3903365
Singapore,2005,2461.0,,,,,6.0,,,,67125.6,,1899.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.6,,,,3.2,3.9,99.0,99.0,99.0,99.0,1.16,11.7,,9.7,,4.9,,0.0,,,2.0,72.3939395,77.68273,-2.2917994999999998
Singapore,2006,2470.0,,,,,5.0,,,,70916.0,,1904.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.3,,,,3.3,3.8,99.0,99.0,99.0,99.0,1.25,11.6,,9.7,,5.0,,0.0,,,2.0,73.81223841666667,78.43073833333332,1.9596963333333335
Singapore,2007,2479.0,,,,,5.0,,,,74159.4,,1910.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.1,,,,3.4,3.7,99.0,99.0,99.0,99.0,1.17,11.5,,9.7,,5.1,,0.0,,,2.0,76.79215275000001,80.08161125,4.031099166666667
Singapore,2008,2488.0,,,,,5.0,,,,71629.8,,1915.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.2,,,,3.5,3.5,99.0,99.0,99.0,99.0,1.35,11.5,,9.7,,5.2,,0.0,,,2.0,84.25423516666666,85.38924575,9.732986666666667
Singapore,2009,2495.0,,,,,4.0,,,,69585.8,,1920.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.5,,,,3.7,3.4,99.0,99.0,99.0,99.0,1.18,11.4,,9.7,,5.3,,0.0,,,2.0,86.37982591666668,85.89878058333335,2.5671424166666665
Singapore,2010,2501.0,,,,,4.0,,,,78294.0,,1924.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.0,,,,3.8,3.3,99.0,99.0,99.0,99.0,1.17,11.4,,9.7,,5.4,,0.0,,,2.0,88.39792949999999,88.32427133333334,2.339372416666667
Singapore,2011,2503.0,,,,,5.0,,,,81538.4,,1925.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.0,,,,3.9,3.2,99.0,99.0,99.0,99.0,1.19,11.5,,9.7,,5.5,,0.0,,,2.0,91.54548841666667,92.95934658333334,3.5623071666666664
Singapore,2012,2505.0,,,,,5.0,,,,83112.0,,1926.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,0.8,,,,4.0,3.2,99.0,99.0,99.0,99.0,1.37,11.5,,9.7,,5.6,,0.0,,,2.0,93.78511291666668,97.21279691666666,2.4500005833333334
Singapore,2013,2506.0,,,,,5.0,,,,85732.8,,1926.0,,0.1,0.1,,4.8,0.3,0.0,,0.2,0.2,,,,4.1,3.1,99.0,99.0,99.0,99.0,1.38,11.6,,9.6,,5.7,,0.0,,,3.0,95.95555633333332,99.50566191666665,2.3162909166666665
Singapore,2014,2505.0,,,,,5.0,,,,87959.4,,1926.0,,0.1,0.1,,4.8,0.3,0.0,,0.2,0.7,,,,4.2,3.1,99.0,99.0,99.0,99.0,1.19,11.8,,9.6,,5.8,,0.0,,,3.0,98.79082725,100.52574241666666,2.9564644999999996
