Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 persons","237438.721","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 persons","575338.127","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 persons","287063.163","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 persons","288274.943","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 persons","331861.449","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 persons","244102.663","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","582452.882","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 persons","290812.259","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 persons","291640.633","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 persons","332134.21","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 persons","250862.482","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","589646.243","A","Aggregate, may include official, semi-official, estimated or calculated data",""
